participantid,condition,session,conversation,onset,duration,within_speaker,speaker_prior_turn,speaker_subsequent_turn,type,word_count,subsequent_utterance
subj-01,human,1,1,0.254,2.134,0,researcher,participant,silence,2,***donc euh
subj-01,human,1,1,4.522,0.274,1,participant,participant,silence,3,concernant l'image
subj-01,human,1,1,5.782,0.18799999999999972,0,participant,researcher,silence,1,ah
subj-01,human,1,1,6.229,0.29499999999999993,0,researcher,participant,silence,8,il s'agissait d'une d'une aubergine
subj-01,human,1,1,8.647,0.3249999999999993,0,participant,researcher,silence,3,ouais c'est
subj-01,human,1,1,12.61,0.5080000000000009,0,participant,researcher,silence,13,un masque de batmanouais ben avec les yeux et la bouche et euh
subj-01,human,1,1,17.528,0.28000000000000114,0,researcher,participant,silence,7,c'est ça c'est ça ouais
subj-01,human,1,1,18.839,0.45700000000000074,0,participant,researcher,silence,2,donc euh
subj-01,human,1,1,20.495,0.24899999999999878,0,researcher,participant,silence,16,alors là c'est vrai que ça ça laisse un peu dans le flou mais euh
subj-01,human,1,1,23.32,1.0159999999999982,0,participant,researcher,silence,23,ouais mais c'est déjà lié à l'alimentation quoi c'est quelque chose qui a à voir avec euh avec les euh
subj-01,human,1,1,28.619,0.5339999999999989,1,researcher,researcher,silence,2,avec euh
subj-01,human,1,1,33.315,0.07000000000000028,0,participant,researcher,silence,5,ou avec le super-héros batman
subj-01,human,1,1,34.904,0.9549999999999983,1,researcher,researcher,silence,1,euh
subj-01,human,1,1,36.428,2.068000000000005,0,researcher,participant,silence,1,là
subj-01,human,1,1,45.98,1.0970000000000013,0,researcher,participant,silence,2,non ça
subj-01,human,1,1,47.814,0.41100000000000136,1,participant,participant,silence,11,euh elle était taillée elle était pas oxydée elle était crue
subj-01,human,1,1,50.999,2.6729999999999947,1,participant,participant,silence,1,que
subj-01,human,1,1,54.149,1.2149999999999963,1,participant,participant,silence,6,là quand c'est en aubergine
subj-01,human,1,1,56.934,1.3500000000000014,0,participant,researcher,silence,3,donc c- ouais
subj-01,human,1,1,58.925,0.3100000000000023,1,researcher,researcher,silence,1,euh
subj-01,human,1,1,9.232,0.33000000000000007,0,researcher,participant,speech,16,on aurait dit qu'elle était taillée comme si y avait un masque de batman dessus
subj-01,human,1,1,29.986,0.1319999999999979,0,researcher,participant,speech,13,oui ou alors avec les les super-héros on sait pas avec batman et
subj-01,human,1,1,30.519,0.5240000000000009,1,researcher,researcher,speech,2,les légumes
subj-01,human,1,1,38.547,0.3610000000000042,0,participant,researcher,speech,25,je sais pas moi j'ai pas vu grand chose d'autre elle était bien belle par contrec'est euh elle était brillante elle euh
subj-01,human,1,1,43.267,0.02999999999999403,0,researcher,participant,speech,13,ah oui oui oui oui elle était elle était propre elle était euh
subj-01,human,1,1,44.451,1.4879999999999995,0,participant,researcher,speech,6,c'était euh c'était un
subj-01,human,1,3,10.781,0.6399999999999988,1,researcher,researcher,silence,22,tout à l'heure c'était batman et là c'est tortue ninja donc clairement l'histoire des super-héros c'est euh
subj-01,human,1,3,15.78,0.2580000000000009,0,researcher,participant,silence,11,donc tout à l'heure c'était aussi superman donc euh
subj-01,human,1,3,18.036,0.4269999999999996,1,participant,participant,silence,8,je pense que ça fait sens avec euh
subj-01,human,1,3,20.759,0.5899999999999999,0,researcher,participant,silence,7,c'est de l'image fait sens
subj-01,human,1,3,22.526,0.30600000000000094,1,participant,participant,silence,4,là concernant cette image
subj-01,human,1,3,24.296,0.6600000000000001,1,participant,participant,silence,7,ouais une tortue ninja un citron vert
subj-01,human,1,3,26.927,0.6050000000000004,1,participant,participant,silence,12,ça fait vraiment sens ça doit être euhune publicité qui va euh
subj-01,human,1,3,31.449,0.5639999999999965,1,participant,participant,silence,11,dans le sens de voilà manger plus de fruits et légumes
subj-01,human,1,3,33.903,0.777000000000001,1,participant,participant,silence,11,vous avez dit c'était lié à l'alimentation donc euh
subj-01,human,1,3,37.058,0.6000000000000014,0,participant,researcher,silence,35,ouais mais euh c'est bizarre parce que le le citron euh enfin le lime le citron vert comme ça enfin je sais pas toi mais moi c'est pas quelque chose que je mange
subj-01,human,1,3,44.471,1.5190000000000055,0,researcher,participant,silence,8,non ouais ça se mange pas comme ça
subj-01,human,1,3,47.89,0.2359999999999971,0,participant,researcher,silence,9,c'est plutôt pour les cocktails que pour euh
subj-01,human,1,3,49.582,0.8840000000000003,0,researcher,participant,silence,1,oui
subj-01,human,1,3,50.898,0.3299999999999983,0,participant,researcher,silence,7,que que pour faire une ratatouille quoi
subj-01,human,1,3,52.768,1.0060000000000002,0,researcher,participant,silence,3,c'est sûr
subj-01,human,1,3,54.282,0.6960000000000051,1,participant,participant,silence,1,***
subj-01,human,1,3,5.782,0.22299999999999986,0,participant,researcher,speech,23,ah d'accord ok ouais donc on onon a vu exactement la même chose donc là t'as un masque de tortue ninja
subj-01,human,1,3,8.276,0.1479999999999997,1,participant,participant,speech,1,ah
subj-01,human,1,3,11.482,0.7620000000000005,1,participant,participant,speech,2,ouais euh
subj-01,human,1,3,14.978,0.5180000000000007,1,participant,participant,speech,3,c'est ça
subj-01,human,1,3,19.23,0.7779999999999987,0,participant,researcher,speech,9,y a j'ai pas vu spider man hein
subj-01,human,1,5,5.579,0.3860000000000001,0,researcher,participant,silence,15,voilà la pommeà l'envers avec euh on aurait dit le masque de spider man
subj-01,human,1,5,9.902,0.4170000000000016,0,participant,researcher,silence,11,ah ouais ouais clairement hein spider man et y a euh
subj-01,human,1,5,13.261,1.5740000000000016,1,researcher,researcher,silence,1,ouais
subj-01,human,1,5,19.378,0.4720000000000013,1,participant,participant,silence,6,spider man et sa capacité à
subj-01,human,1,5,21.613,0.4009999999999998,1,participant,participant,silence,9,à adhérer aux surfaces et aux plafonds pourquoi pas
subj-01,human,1,5,25.914,0.17199999999999704,0,researcher,participant,silence,2,donc voilà
subj-01,human,1,5,27.139,0.490000000000002,1,researcher,researcher,silence,6,j'avais pas pensé à ça
subj-01,human,1,5,28.624,0.3049999999999997,1,researcher,researcher,silence,14,en tout cas on a quand même un fruit un légume et un agrume
subj-01,human,1,5,31.612,0.6149999999999984,1,researcher,researcher,silence,27,mais tu vois si ça avait été vraiment que enfin moi je je sais pas c'est une idéesi ça avait vraiment que pour manger ils auraient
subj-01,human,1,5,38.176,0.9549999999999983,1,researcher,researcher,silence,8,mis une orange plutôt qu'un citron ouais
subj-01,human,1,5,41.403,0.7210000000000036,0,researcher,participant,silence,14,ouaispeut-être le citron citron vert parce que c'est vert comme les tortues ninjas
subj-01,human,1,5,45.939,0.09700000000000131,0,participant,researcher,silence,3,c'est ça***
subj-01,human,1,5,48.093,0.19299999999999784,0,participant,researcher,silence,9,ouais c'est pour faire le le thème super-héros
subj-01,human,1,5,50.288,0.3610000000000042,0,researcher,participant,silence,13,voilà c'est j'ai l'impression que c'est pour rendre amusant
subj-01,human,1,5,52.991,0.6099999999999994,1,participant,participant,silence,5,euh des fruits et légumes
subj-01,human,1,5,54.536,0.41100000000000136,1,participant,participant,silence,4,aux yeux des enfants
subj-01,human,1,5,55.775,0.09700000000000131,0,participant,researcher,silence,5,ah ça serait un truc
