participantid,condition,session,conversation,onset,duration,production,comprehension,n_token,utterance,tdl
subj-01,human,1,1,5.97,0.25900000000000034,0,1,1,ah,0
subj-01,human,1,1,8.972,0.5899999999999999,0,1,3,ouais c'est,1
subj-01,human,1,1,13.118,1.036999999999999,0,1,4,un masque de batman,4
subj-01,human,1,1,14.388,3.139999999999999,0,1,10,ouais ben avec les yeux et la bouche et euh,12
subj-01,human,1,1,19.296,1.1990000000000016,0,1,2,donc euh,0
subj-01,human,1,1,24.336,4.283000000000001,0,1,23,ouais mais c'est déjà lié à l'alimentation quoi c'est quelque chose qui a à voir avec euh avec les euh,42
subj-01,human,1,1,29.153,0.9649999999999999,0,1,2,avec euh,0
subj-01,human,1,1,30.519,0.5240000000000009,0,1,2,les légumes,1
subj-01,human,1,1,33.385,1.5190000000000055,0,1,5,ou avec le super-héros batman,7
subj-01,human,1,1,35.859,0.5689999999999955,0,1,1,euh,0
subj-01,human,1,1,38.547,2.291000000000004,0,1,18,je sais pas moi j'ai pas vu grand chose d'autre elle était bien belle par contre,42
subj-01,human,1,1,40.969,2.327999999999996,0,1,8,c'est euh elle était brillante elle euh,10
subj-01,human,1,1,44.451,1.5289999999999964,0,1,6,c'était euh c'était un,5
subj-01,human,1,1,58.284,0.6409999999999982,0,1,3,donc c- ouais,1
subj-01,human,1,1,59.235,0.7165999999999997,0,1,1,euh,0
subj-01,human,1,1,3.841,0.681,1,0,2,donc euh,0
subj-01,human,1,1,4.796,0.9859999999999998,1,0,3,concernant l'image,3
subj-01,human,1,1,6.524,2.123,1,0,8,il s'agissait d'une d'une aubergine,12
subj-01,human,1,1,9.232,3.378,1,0,16,on aurait dit qu'elle était taillée comme si y avait un masque de batman dessus,34
subj-01,human,1,1,17.808,1.0309999999999988,1,0,7,c'est ça c'est ça ouais,9
subj-01,human,1,1,20.744,2.5760000000000005,1,0,16,alors là c'est vrai que ça ça laisse un peu dans le flou mais euh,41
subj-01,human,1,1,29.986,3.328999999999997,1,0,13,oui ou alors avec les les super-héros on sait pas avec batman et,31
subj-01,human,1,1,38.496,0.41199999999999903,1,0,1,là,0
subj-01,human,1,1,43.267,2.671999999999997,1,0,13,ah oui oui oui oui elle était elle était propre elle était euh,9
subj-01,human,1,1,47.077,0.7370000000000019,1,0,2,non ça,0
subj-01,human,1,1,48.225,2.774000000000001,1,0,11,euh elle était taillée elle était pas oxydée elle était crue,16
subj-01,human,1,1,53.672,0.47700000000000387,1,0,1,que,0
subj-01,human,1,1,55.364,1.5700000000000003,1,0,6,là quand c'est en aubergine,15
subj-01,human,1,3,5.782,2.1129999999999995,0,1,8,ah d'accord ok ouais donc on on,8
subj-01,human,1,3,8.119,2.662000000000001,0,1,16,on a vu exactement la même chose donc là t'as un masque de tortue ninja,32
subj-01,human,1,3,11.421,4.359,0,1,22,tout à l'heure c'était batman et là c'est tortue ninja donc clairement l'histoire des super-héros c'est euh,39
subj-01,human,1,3,19.23,1.529,0,1,9,y a j'ai pas vu spider man hein,17
subj-01,human,1,3,37.658,6.812999999999995,0,1,35,ouais mais euh c'est bizarre parce que le le citron euh enfin le lime le citron vert comme ça enfin je sais pas toi mais moi c'est pas quelque chose que je mange,83
subj-01,human,1,3,48.126,1.456000000000003,0,1,9,c'est plutôt pour les cocktails que pour euh,18
